post_id	date	section	label	url	link	review_status
4245	2023-12-24 09:00:00	0	самых разнообразных концентраторов	https://exler.es/aliexpress/delimsya-nahodkami-iz-kitajskih-magazinov-160.htm	https://alli.pub/6us1ed	unreviewed_link_not_product
4245	2023-12-24 09:00:00	1	а многоразовые	https://exler.es/aliexpress/delimsya-nahodkami-iz-kitajskih-magazinov-160.htm	https://alli.pub/6us1lr	unreviewed_link_not_product
4245	2023-12-24 09:00:00	2	деревянные мельнички для специй	https://exler.es/aliexpress/delimsya-nahodkami-iz-kitajskih-magazinov-160.htm	https://alli.pub/6us24f	unreviewed_link_not_product
4245	2023-12-24 09:00:00	3	Многофункциональный фонарик	https://exler.es/aliexpress/delimsya-nahodkami-iz-kitajskih-magazinov-160.htm	https://alli.pub/6us2ga	unreviewed_link_not_product
4245	2023-12-24 09:00:00	4	Универсальная полка-подставка	https://exler.es/aliexpress/delimsya-nahodkami-iz-kitajskih-magazinov-160.htm	https://alli.pub/6us31h	unreviewed_link_not_product
4245	2023-12-24 09:00:00	5	ночничок	https://exler.es/aliexpress/delimsya-nahodkami-iz-kitajskih-magazinov-160.htm	https://alli.pub/6us9u3	unreviewed_link_not_product
4245	2023-12-24 09:00:00	6	наборы на 1000 частей	https://exler.es/aliexpress/delimsya-nahodkami-iz-kitajskih-magazinov-160.htm	https://alli.pub/6usbxj	unreviewed_link_not_product
4245	2023-12-24 09:00:00	7	термосы	https://exler.es/aliexpress/delimsya-nahodkami-iz-kitajskih-magazinov-160.htm	https://alli.pub/6usa38	unreviewed_link_not_product
4245	2023-12-24 09:00:00	8	теплые зимние домашние тапки	https://exler.es/aliexpress/delimsya-nahodkami-iz-kitajskih-magazinov-160.htm	https://alli.pub/6uscar	unreviewed_link_not_product
4245	2023-12-24 09:00:00	9	оригинальная подставка	https://exler.es/aliexpress/delimsya-nahodkami-iz-kitajskih-magazinov-160.htm	https://alli.pub/6usaj6	unreviewed_link_not_product
4284	2023-12-17 09:00:00	0	Мужская сумка через плечо	https://exler.es/aliexpress/delimsya-nahodkami-iz-kitajskih-magazinov-159.htm	https://alli.pub/6ukyzg	unreviewed_link_not_product
4284	2023-12-17 09:00:00	1	Anker Soundcore Sport X10	https://exler.es/aliexpress/delimsya-nahodkami-iz-kitajskih-magazinov-159.htm	https://alli.pub/6ukzii	unreviewed_link_not_product
4284	2023-12-17 09:00:00	2	эргономичные маски для сна	https://exler.es/aliexpress/delimsya-nahodkami-iz-kitajskih-magazinov-159.htm	https://alli.pub/6ukzt0	unreviewed_link_not_product
4284	2023-12-17 09:00:00	3	настольная лампа	https://exler.es/aliexpress/delimsya-nahodkami-iz-kitajskih-magazinov-159.htm	https://alli.pub/6ukzwp	unreviewed_link_not_product
4284	2023-12-17 09:00:00	4	Xiaomi Mijia S700	https://exler.es/aliexpress/delimsya-nahodkami-iz-kitajskih-magazinov-159.htm	https://alli.pub/6uegdy	unreviewed_link_not_product
4284	2023-12-17 09:00:00	5	Дешевые (аналоги в 1,5-2 раза дороже) внешние SSD	https://exler.es/aliexpress/delimsya-nahodkami-iz-kitajskih-magazinov-159.htm	https://alli.pub/6ul9kr	unreviewed_link_not_product
4284	2023-12-17 09:00:00	6	Автоматические шейкеры	https://exler.es/aliexpress/delimsya-nahodkami-iz-kitajskih-magazinov-159.htm	https://alli.pub/6ul9uo	unreviewed_link_not_product
4284	2023-12-17 09:00:00	7	вот таком эспандере с регулируемой нагрузкой	https://exler.es/aliexpress/delimsya-nahodkami-iz-kitajskih-magazinov-159.htm	https://alli.pub/6ulcxp	unreviewed_link_not_product
4284	2023-12-17 09:00:00	8	датчик концентрации углекислого газа в комнате	https://exler.es/aliexpress/delimsya-nahodkami-iz-kitajskih-magazinov-159.htm	https://alli.pub/6uld69	unreviewed_link_not_product
4284	2023-12-17 09:00:00	9	механические деревянные мельнички	https://exler.es/aliexpress/delimsya-nahodkami-iz-kitajskih-magazinov-159.htm	https://alli.pub/6uldca	unreviewed_link_not_product
4324	2023-12-10 09:00:00	0	симпатичных и недорогих шаров на ёлку	https://exler.es/aliexpress/delimsya-nahodkami-iz-kitajskih-magazinov-158.htm	https://alli.pub/6uegv2	unreviewed_link_not_product
4324	2023-12-10 09:00:00	1	мощный внешний аккумулятор на 25000 мАч	https://exler.es/aliexpress/delimsya-nahodkami-iz-kitajskih-magazinov-158.htm	https://alli.pub/6ue0cg	unreviewed_link_not_product
4324	2023-12-10 09:00:00	2	Zeblaze GTR 3 Pro	https://exler.es/aliexpress/delimsya-nahodkami-iz-kitajskih-magazinov-158.htm	https://alli.pub/6ue28b	unreviewed_link_not_product
4324	2023-12-10 09:00:00	2	почти в четыре раза дороже	https://exler.es/aliexpress/delimsya-nahodkami-iz-kitajskih-magazinov-158.htm	https://alli.pub/6ue2dy	unreviewed_link_not_product
4324	2023-12-10 09:00:00	3	и вовсе можно купить за €30	https://exler.es/aliexpress/delimsya-nahodkami-iz-kitajskih-magazinov-158.htm	https://alli.pub/6uegfi	unreviewed_link_not_product
4324	2023-12-10 09:00:00	3	Xiaomi Mijia S700	https://exler.es/aliexpress/delimsya-nahodkami-iz-kitajskih-magazinov-158.htm	https://alli.pub/6uegdy	unreviewed_link_not_product
4324	2023-12-10 09:00:00	4	новая продвинутая модель	https://exler.es/aliexpress/delimsya-nahodkami-iz-kitajskih-magazinov-158.htm	https://alli.pub/6uel34	unreviewed_link_not_product
4324	2023-12-10 09:00:00	4	подвесную вешалку	https://exler.es/aliexpress/delimsya-nahodkami-iz-kitajskih-magazinov-158.htm	https://alli.pub/6uelyt	unreviewed_link_not_product
